,dtype,nunique,na_ratio
margen_bruto_6m,float64,1983,0.6134444190824013
captrab_ventas_6m,float64,2390,0.6134444190824013
rat_solvencia_6m,float64,2400,0.611675416571559
cob_deuda_tot_6m,float64,2394,0.611618351974435
rat_pasivolp_ebit_6m,float64,1529,0.6104770600319561
rat_pastot_ebit_6m,float64,2393,0.6104770600319561
rat_pastot_utnet_6m,float64,2394,0.6103058662405844
tasa_impuestos_6m,float64,862,0.6103058662405844
rot_cap_trabajo_6m,float64,2390,0.6078520885642548
rat_pas_patrinet_6m,float64,2401,0.607566765578635
rent_patrimonio_6m,float64,2408,0.607566765578635
rent_activos_6m,float64,2408,0.6073385071901393
rat_actcir_ncirc_6m,float64,2414,0.6073385071901393
rat_pasivo_activo_6m,float64,2401,0.6073385071901393
roa_6m,float64,2409,0.6073385071901393
roa2_6m,float64,2392,0.6073385071901393
rot_act_tot_6m,float64,2391,0.6073385071901393
rat_ebit_activos_6m,float64,2408,0.6073385071901393
utilidad_neta_6m,float64,2408,0.6072814425930153
indicador_pym_pro,float64,1,0.6027162748230998
rat_disp_dispon,float64,6446,0.5978087194704406
rat_disp_dispon_6med,float64,7065,0.574868751426615
rat_liquidez,float64,2437,0.5720155215704177
productividad,float64,2474,0.5643118009586853
margen_ebitda,float64,2468,0.5635699611960739
margen_operativo,float64,2468,0.5635699611960739
margen_neto,float64,2476,0.5635699611960739
captrab_ventas,float64,2478,0.5635699611960739
margen_bruto,float64,2055,0.5635699611960739
margen_ebit,float64,2475,0.5635699611960739
rat_ebitda_pasivos,float64,2486,0.561401506505364
rat_solvencia,float64,2492,0.561401506505364
rat_pasnocirc_pastot,float64,1583,0.561401506505364
rat_pascirc_pastotal,float64,1583,0.561401506505364
rat_ebit_pasivos,float64,2486,0.561401506505364
cobertura_deuda_tot,float64,2489,0.5611161835197443
rat_disp_dispo_12med,float64,7320,0.5610591189226204
rat_pasivolp_ebitda,float64,1632,0.5594613102031499
rat_pasivot_ebitda,float64,2486,0.5594613102031499
rat_pasivolp_ebit,float64,1632,0.559404245606026
rat_pasivototal_ebit,float64,2486,0.559404245606026
rat_pasivot_utneta,float64,2487,0.5593471810089021
tasa_impuestos,float64,861,0.5593471810089021
rat_pastot_utnet,float64,2487,0.5593471810089021
rot_cap_trabajo,float64,2478,0.5566651449440767
rat_pas_patrinet,float64,2493,0.5563798219584569
rent_patrimonio,float64,2501,0.5563798219584569
rat_accirc_actotal,float64,2450,0.5561515635699612
rat_actcir_ncirc,float64,2506,0.5561515635699612
rat_acnocirc_actotal,float64,2450,0.5561515635699612
rat_ebitda_activos,float64,2501,0.5561515635699612
rot_activos_totales,float64,2479,0.5561515635699612
rat_pasivo_activo,float64,2493,0.5561515635699612
rat_ebit_activos,float64,2501,0.5561515635699612
rent_activos,float64,2501,0.5561515635699612
roa2,float64,2480,0.5561515635699612
roa,float64,2502,0.5561515635699612
pasivo_lp,float64,1564,0.5559233051814654
activo_total,float64,2511,0.5559233051814654
utilidad_neta,float64,2503,0.5559233051814654
rat_ebit_sact,float64,7308,0.5559233051814654
costototalventas,float64,2053,0.5559233051814654
pasivo_circ,float64,2387,0.5559233051814654
ebit,float64,2502,0.5559233051814654
otros_pasivos,float64,2,0.5559233051814654
activo_circ,float64,2505,0.5559233051814654
rat_activos_sactivo,float64,7363,0.5559233051814654
pasivo_total,float64,2457,0.5559233051814654
impuestos,float64,857,0.5559233051814654
rat_uneta_sactivo,float64,7309,0.5559233051814654
rat_pasivos_sactivo,float64,7269,0.5559233051814654
utilidad_bruta,float64,2478,0.5559233051814654
ebitda,float64,2500,0.5559233051814654
pasivo_no_circ,float64,1564,0.5559233051814654
utilidad_neta_6med,float64,5784,0.5386897968500343
utilidad_neta_6max,float64,2085,0.5386897968500343
utilidad_neta_12med,float64,6785,0.5196302214106369
utilidad_neta_12max,float64,1678,0.5196302214106369
pat_neto_12var,float64,3523,0.4839077836110477
rat_salnet_ven_12m,float64,9688,0.4451609221638895
