variable,iv
antig_activo_12m,0.1093960736065458
total_saldo_12m,0.10714490665626819
saldo_debe_6med,0.10658320788777007
saldo_debe,0.10574655410577448
rat_spas_ventas_12m,0.10263713241597686
rat_tpas_ventas_12m,0.10263713241597686
saldo_haber_12m,0.10037836834742211
saldo_neto_6max,0.09863261300414929
saldo_vivo_6m,0.09851116594251975
saldo_activo_6m,0.09851116594251975
total_saldo_6max,0.09828469721634062
limite_6var,0.09629203918020665
saldo_dispuesto_6m,0.09468892305613065
saldo_debe_12m,0.09423684849627531
saldo_vivo,0.08898320483594727
total_saldo_12max,0.08529396755800471
saldispopera_12med,0.08465420462660758
saldo_debe_6m,0.08448286676197866
limite_12var,0.08311648540187642
tasa_impuestos_12m,0.08031531545951048
antiguedad_activo,0.07674773936872449
rat_snet_ventas_12m,0.07575246923455195
rat_salnet_ven_12m,0.07575246923455195
rot_act_tot_12m,0.07505247595018408
rot_cap_trabajo_6m,0.07490283565987432
tasaoperacion_pond,0.07429941725704808
rat_pastot_utnet_12m,0.07420790468150514
saldo_neto_6var,0.07398540799434526
rat_paslp_ebit_12m,0.07316192210404936
rat_pas_patrinet_12m,0.07261840923028678
total_saldo_12var,0.07248303933872186
rent_patrimonio_6m,0.07234165690775334
saldo_dispuesto_12m,0.07198706331198608
num_nominas_domici,0.07109945238363849
tasa_operacion,0.07019768921943084
rot_cap_trabajo_12m,0.0698984039526796
rat_sact_snet_12med,0.06790539490455723
rot_act_tot_6m,0.0669026687679957
rat_pas_act_12m,0.06639357630389162
rat_ventas_tsal_12m,0.06605806367676904
roa2_6m,0.06605102730496927
margen_neto_12m,0.06556992277339069
captrab_ventas_12m,0.06548893627822527
rat_liquidez_12m,0.06517638618886175
antiguedad_empresa,0.06489709107610736
rent_patrimonio_12m,0.06362348941394325
productividad_12m,0.06361036984512705
roa_12m,0.06348932597531531
roa2_12m,0.06348932597531531
rat_solvencia_12m,0.06213348534750677
rat_ebit_activos_6m,0.062086979301381344
rent_activos_6m,0.062086979301381344
margen_operativo_12m,0.0620216295937997
rat_svivo_sact_12m,0.06060504833525726
rat_ven_sact_12m,0.06060504833525726
rat_ventas_spasivo,0.06041433795132653
tasa_impuestos_6m,0.06011018517593047
rot_activos_totales,0.05920691345401326
roa_6m,0.058602539571968065
utilidad_neta_12m,0.05773825850714204
rat_svivo_sact_6m,0.056929932233838666
rat_ven_sact_6m,0.05672600507909506
rat_pastot_utnet_6m,0.05610002141130839
margen_ebit_12m,0.05392259074718268
antig_pasivo_12m,0.05344687440517527
gasto_fin_ventas_12m,0.05270071535173547
rat_tpas_tact_12m,0.052688565966255214
rat_spas_sact_12m,0.052688565966255214
roa,0.052442816886742294
rat_pastot_ebit_12m,0.05227993561905677
rat_pastot_ebit_6m,0.051992932631835666
rat_ventas_tsal_12md,0.051449918387868915
utilidad_neta_6var,0.05131342778753867
rat_ventas_lim_12m,0.051063012658588224
cod_cliente_anom,0.05103957114581861
rat_ebit_activos,0.05091908726296388
rent_activos,0.05091908726296388
rat_pasivolp_ebit_6m,0.05088911684745323
utilidad_neta_12var,0.050338500227009635
rat_solvencia_6m,0.05031096241632438
antiguedad_pasivo_6m,0.05015400318197466
captrab_ventas_6m,0.04998274855449529
antiguedad_pasivo,0.04879325606655284
total_saldo,0.048437556521708364
rat_actcir_ncirc_6m,0.04816550263520204
rat_ebit_activos_12m,0.04805575576489335
rent_activos_12m,0.04805575576489335
margen_ebit_6m,0.0473540140829118
rat_ebitda_activos,0.04622553672964209
rot_act_fijo_12m,0.04459712324646486
impuestos,0.044212835362721865
patrimonio_neto_12m,0.04229837907337897
margen_neto_6m,0.042128579127652555
total_saldo_6m,0.04127072586897949
rent_patrimonio,0.04081583929306368
roa2,0.04075380548608737
total_saldo_6var,0.040734865153521024
tasa_impuestos,0.039627251052054925
rat_ebitda_pasivos,0.03904242135937247
cobertura_deuda_tot,0.038857841238806784
rat_spas_snet_12m,0.03849633034557935
rat_pascirc_pastotal,0.03847521566182738
rat_ebit_pasivos,0.03798868798939638
utilidad_neta_6m,0.03748473390051806
utilidad_neta_6max,0.03738295722069937
