bin,count,bads,goods,dist_bad,dist_good,woe,iv_component
bin_1,15093,455,14638,0.49242424242424243,0.8818072289156627,-0.5826328445072715,0.22686731702223265
bin_2,2431,469,1962,0.5075757575757576,0.11819277108433734,1.4573290310239215,0.5674591304007421
