variable,n_bins,iv_total
rat_pastot_ebit_6m,2,0.0519929326318356
rat_pastot_utnet,2,0.0047782404911321
rat_pastot_utnet_12m,2,0.0742079046815051
rat_pastot_utnet_6m,2,0.0561000214113083
rat_prompas_sact,4,0.7098732377145243
rat_prompas_sact_12m,5,0.344675240212886
rat_prompas_sact_6m,4,0.4891854102862362
rat_prpas_sact_12med,4,0.529841050172756
rat_prpas_sact_6med,3,0.5502104187026392
rat_sact_snet,2,0.2788688035452215
rat_sact_snet_12m,2,0.1449906047001204
rat_sact_snet_12med,2,0.0679053949045572
rat_sact_snet_6m,3,0.2065740808533303
rat_sact_snet_6med,2,0.1243426591930346
rat_sal_net_ventas,3,0.1459395089277215
rat_sal_tpas_limi,3,0.5457528900657578
rat_sal_tpas_limi_6m,3,0.2575058161555946
rat_sal_tpas_ventas,2,0.1859629017550687
rat_salnet_ven_12m,2,0.0757524692345519
rat_salnet_ven_12med,2,0.1491068966980319
rat_salnet_ven_6m,2,0.1375700985602903
rat_salnet_ven_6med,3,0.1495964756666829
rat_sdeb_shab_12med,2,0.1705880695097863
rat_sdeb_shab_6med,2,0.1712399887952326
rat_sdebe_shaber,3,0.382838897052126
rat_sdebe_shaber_12m,2,0.0335059204483316
rat_sdebe_shaber_6m,2,0.1205150211577012
rat_snet_ventas,3,0.1459395089277215
rat_snet_ventas_12m,2,0.0757524692345519
rat_snet_ventas_6m,2,0.1375700985602903
rat_solvencia,2,0.0303781151589874
rat_solvencia_12m,2,0.0621334853475067
rat_solvencia_6m,2,0.0503109624163243
rat_spas_sact_12m,2,0.0526885659662552
rat_spas_sact_12med,4,0.4526724790352138
rat_spas_sact_6m,4,0.4280565234678061
rat_spas_sact_6med,3,0.497339812101311
rat_spas_snet_12m,2,0.0384963303455793
rat_spas_snet_12med,2,0.0114373300696868
rat_spas_snet_6med,2,0.1759750160425919
rat_spas_ventas,2,0.1859629017550687
rat_spas_ventas_12m,3,0.1026371324159768
rat_spas_ventas_6m,2,0.1477460202811598
rat_spasivo_sactivo,3,0.5484501022814253
rat_spasivo_sneto,2,0.1382291764675384
rat_spasivo_sneto_6m,2,0.031066212278149
rat_sven_stot_12med,2,0.7311762936764541
rat_sven_stot_6med,2,0.7131696448092053
rat_svivo_sact,2,0.0013741041794212
rat_svivo_sact_12m,2,0.0606050483352572
rat_svivo_sact_12med,2,0.5021879986026909
rat_svivo_sact_6m,3,0.0569299322338386
rat_svivo_sact_6med,2,0.0019570511876682
rat_svivo_spas,2,0.2701448519687658
rat_svivo_spas_12m,2,0.0350017100420465
rat_svivo_spas_12med,2,0.1674326537120162
rat_svivo_spas_6m,2,0.1299855493738036
rat_svivo_spas_6med,2,0.1608501986043541
rat_tpas_lim_12m,3,0.1149328301306867
rat_tpas_lim_12med,4,0.44461480197512
rat_tpas_limi_6med,3,0.5035699669096227
rat_tpas_sact_12med,4,0.4526724790352138
rat_tpas_sact_6m,4,0.4280565234678061
rat_tpas_sact_6med,3,0.497339812101311
rat_tpas_tact,3,0.5484501022814253
rat_tpas_tact_12m,2,0.0526885659662552
rat_tpas_ventas_12m,3,0.1026371324159768
rat_tpas_ventas_12md,4,0.2652494811428269
rat_tpas_ventas_6m,2,0.1477460202811598
rat_tpas_ventas_6md,3,0.2661773930103618
rat_uneta_sactivo,2,0.0177659252140466
rat_uneta_spasivo,2,0.0113686596937902
rat_ven_sact,2,0.8068065791332771
rat_ven_sact_12m,2,0.0606050483352572
rat_ven_sact_12med,3,0.7671278450907972
rat_ven_sact_6m,2,0.056726005079095
rat_ven_sact_6med,3,0.739688386796253
rat_ven_spas,2,0.5216300369971958
rat_ven_spas_12m,2,0.0133950866112443
rat_ven_spas_12med,2,0.2093431716971877
rat_ven_spas_6m,2,0.145374725273454
rat_ven_spas_6med,2,0.3597535657873396
rat_ventas_lim_12m,2,0.0510630126585882
rat_ventas_lim_12med,2,0.0348426067387942
rat_ventas_lim_6med,2,0.0233311471335443
rat_ventas_limite,2,0.0253885063752522
rat_ventas_limite_6m,2,0.0292886494495355
rat_ventas_sactivo,2,0.0151935319765348
rat_ventas_spasivo,2,0.0604143379513265
rat_ventas_tot_sal,2,0.0292113609009053
rat_ventas_tsal_12m,2,0.066058063676769
rat_ventas_tsal_12md,2,0.0514499183878689
rat_ventas_tsal_6m,2,0.0253385280016968
rat_ventas_tsal_6md,2,0.0244984822493992
rent_activos,3,0.0509190872629638
rent_activos_12m,2,0.0480557557648933
rent_activos_6m,2,0.0620869793013813
rent_patrimonio,2,0.0408158392930636
rent_patrimonio_12m,2,0.0636234894139432
rent_patrimonio_6m,2,0.0723416569077533
roa,3,0.0524428168867422
roa2,6,0.0407538054860873
roa2_12m,2,0.0634893259753153
roa2_6m,2,0.0660510273049692
roa_12m,2,0.0634893259753153
roa_6m,2,0.058602539571968
rot_act_fijo_12m,2,0.0445971232464648
rot_act_tot_12m,2,0.075052475950184
rot_act_tot_6m,2,0.0669026687679957
rot_activos_fijos,2,0.0020030894919773
rot_activos_fijos_6m,2,0.0156505034358512
rot_activos_totales,2,0.0592069134540132
rot_cap_trabajo,2,0.0264876837167492
rot_cap_trabajo_12m,3,0.0698984039526796
rot_cap_trabajo_6m,2,0.0749028356598743
sactidebefinmes,3,0.1169812918448878
sactidebepromedio,3,0.1207144650388368
saldispopera,2,0.1508971784979628
saldispopera_12m,2,0.1479666943803785
saldispopera_12med,2,0.0846542046266075
saldispopera_12var,2,0.1105115548737811
saldispopera_6m,2,0.1641039582932577
saldispopera_6med,2,0.1167328100173353
saldispopera_6var,2,0.111688115614638
saldo_activo,3,0.1169812918448878
saldo_activo_12m,2,0.1119301424172754
saldo_activo_12max,2,0.1665542392816828
saldo_activo_12med,2,0.1742211753102023
saldo_activo_6m,2,0.0985111659425197
saldo_activo_6max,2,0.1224044410070441
saldo_activo_6med,2,0.1181128615979392
saldo_capital,3,0.1127488317192993
saldo_debe,2,0.1057465541057744
saldo_debe_12m,2,0.0942368484962753
saldo_debe_12med,2,0.1553309191124612
saldo_debe_6m,2,0.0844828667619786
saldo_debe_6med,2,0.10658320788777
saldo_dispuesto,3,0.2470554843675328
saldo_dispuesto_12m,2,0.071987063311986
saldo_dispuesto_6m,2,0.0946889230561306
saldo_dispuesto_6med,2,0.2453601674772077
saldo_dispuesto_6var,2,0.1515863984445767
saldo_haber,3,0.4619835111110564
saldo_haber_12m,3,0.1003783683474221
saldo_haber_12med,3,0.2884501200133108
saldo_haber_6m,3,0.3331815349954697
saldo_haber_6med,2,0.3199315864082231
saldo_intereses,5,0.4368835546216782
saldo_neto,2,0.1810323512446287
saldo_neto_12m,2,0.2098830728601705
saldo_neto_12max,2,0.1209841974212897
saldo_neto_12med,3,0.1778345347972547
saldo_neto_12var,2,0.0289809331986742
saldo_neto_6m,2,0.1682055634241943
saldo_neto_6max,2,0.0986326130041492
saldo_neto_6med,3,0.1669237952011535
saldo_neto_6var,2,0.0739854079943452
saldo_pasivo,3,0.4960615215538249
saldo_pasivo_12m,3,0.1418328924184604
saldo_pasivo_12max,2,0.1768849451192528
saldo_pasivo_12med,3,0.2876672998750955
saldo_pasivo_6m,3,0.337580360408682
saldo_pasivo_6max,4,0.3745738555191049
saldo_pasivo_6med,2,0.3286425077756677
saldo_vencido_12max,2,0.7914793652757145
saldo_vencido_12med,2,0.7943264474229748
saldo_vencido_6max,2,0.7648430559652878
saldo_vencido_6med,2,0.7590611103090447
saldo_vivo,2,0.0889832048359472
saldo_vivo_12m,2,0.1119301424172754
saldo_vivo_12max,2,0.1368994600910738
saldo_vivo_12med,3,0.2030807120801148
saldo_vivo_6m,2,0.0985111659425197
saldo_vivo_6max,2,0.1269784024694432
saldo_vivo_6med,3,0.1719961399338064
saliniinciint_v,2,0.4544904594264768
salmedincicap_v,2,0.7511992365022864
salmedinciint_v,2,0.5976814894113112
salmxincicap_v,2,0.7511992365022864
salmxinciint_v,2,0.6017103839557966
salpashabefinmes,3,0.4664722362465133
salvencapital,2,0.6719839997221089
sdispuesto_12med,2,0.2506517879246152
sdispuesto_12var,2,0.1436901494895193
siniincicap_v,2,0.6578194407069246
siniincicap_v_12m,2,0.1762385217600332
siniincicap_v_12max,2,0.5746384152292088
siniincicap_v_12med,2,0.3130910125851197
siniincicap_v_6m,2,0.2624671511771586
