variable,var_type,bin,count,bads,goods,dist_bad,dist_good,woe,iv_component,iv_total
num_contratos,num,bin_1,12674,639,12035,0.6915584415584416,0.725,-0.047223993136687,0.0015792439263242703,0.005417040310766
num_contratos,num,bin_2,4850,285,4565,0.30844155844155846,0.275,0.1147612899425322,0.003837796384441823,0.005417040310766
ead_cont_nov_refina,num,bin_1,1944,370,1574,0.4004329004329004,0.09481927710843374,1.440573479363872,0.44025888069352676,0.5661492992000804
ead_cont_nov_refina,num,bin_5,15580,554,15026,0.5995670995670995,0.9051807228915663,-0.4119267234788717,0.12589041850655366,0.5661492992000804
impgaraoperaforma,num,bin_1,10562,610,9952,0.6601731601731602,0.5995180722891567,0.0963760448913467,0.0058456974727973034,0.0158072310350374
impgaraoperaforma,num,bin_7,6962,314,6648,0.3398268398268398,0.4004819277108434,-0.1642324479240804,0.00996153356224014,0.0158072310350374
impgaraoperarefe,num,bin_1,10562,610,9952,0.6601731601731602,0.5995180722891567,0.0963760448913467,0.0058456974727973034,0.0158072310350374
impgaraoperarefe,num,bin_7,6962,314,6648,0.3398268398268398,0.4004819277108434,-0.1642324479240804,0.00996153356224014,0.0158072310350374
impcontnovarefi,num,bin_1,869,185,684,0.2002164502164502,0.04120481927710844,1.5808438101587248,0.25137255251370205,0.5751020764133161
impcontnovarefi,num,bin_3,519,104,415,0.11255411255411256,0.025,1.504558281613625,0.13173026513262148,0.5751020764133161
impcontnovarefi,num,bin_4,556,81,475,0.08766233766233766,0.0286144578313253,1.1195802533407482,0.06610884026043888,0.5751020764133161
impcontnovarefi,num,bin_5,15580,554,15026,0.5995670995670995,0.9051807228915663,-0.4119267234788717,0.12589041850655366,0.5751020764133161
impor_novado_refina,num,bin_1,1944,370,1574,0.4004329004329004,0.09481927710843374,1.440573479363872,0.44025888069352676,0.5661492992000804
impor_novado_refina,num,bin_5,15580,554,15026,0.5995670995670995,0.9051807228915663,-0.4119267234788717,0.12589041850655366,0.5661492992000804
limite,num,bin_1,2002,148,1854,0.16017316017316016,0.11168674698795181,0.3605574303412649,0.01748213654452355,0.0202036166437355
limite,num,bin_2,15522,776,14746,0.8398268398268398,0.8883132530120482,-0.0561287156634268,0.002721480099211991,0.0202036166437355
limmxcont_v,num,bin_1,1592,383,1209,0.4145021645021645,0.07283132530120481,1.7389320412688039,0.59414236985375,0.7511992365022864
limmxcont_v,num,bin_5,15932,541,15391,0.5854978354978355,0.9271686746987952,-0.45967302043052205,0.15705686664853633,0.7511992365022864
limmedcont_v,num,bin_1,1592,383,1209,0.4145021645021645,0.07283132530120481,1.7389320412688039,0.59414236985375,0.7511992365022864
limmedcont_v,num,bin_5,15932,541,15391,0.5854978354978355,0.9271686746987952,-0.45967302043052205,0.15705686664853633,0.7511992365022864
limmedcont_e,num,bin_1,1592,383,1209,0.4145021645021645,0.07283132530120481,1.7389320412688039,0.59414236985375,0.7511992365022864
limmedcont_e,num,bin_5,15932,541,15391,0.5854978354978355,0.9271686746987952,-0.45967302043052205,0.15705686664853633,0.7511992365022864
limmincont_v,num,bin_1,1592,383,1209,0.4145021645021645,0.07283132530120481,1.7389320412688039,0.59414236985375,0.7511992365022864
limmincont_v,num,bin_5,15932,541,15391,0.5854978354978355,0.9271686746987952,-0.45967302043052205,0.15705686664853633,0.7511992365022864
limmincont_e,num,bin_1,1592,383,1209,0.4145021645021645,0.07283132530120481,1.7389320412688039,0.59414236985375,0.7511992365022864
limmincont_e,num,bin_5,15932,541,15391,0.5854978354978355,0.9271686746987952,-0.45967302043052205,0.15705686664853633,0.7511992365022864
mxdiasatramescapi,num,bin_1,15420,522,14898,0.564935064935065,0.8974698795180723,-0.4628687641506324,0.1539199786630963,0.6345454093543479
mxdiasatramescapi,num,bin_2,2104,402,1702,0.43506493506493504,0.10253012048192771,1.445338682188652,0.4806254306912515,0.6345454093543479
mxdiasatramesinte,num,bin_1,15651,472,15179,0.5108225108225108,0.9143975903614457,-0.5822432843383533,0.2349788797878616,0.9384150679375244
mxdiasatramesinte,num,bin_2,1873,452,1421,0.48917748917748916,0.08560240963855421,1.7430119544380809,0.7034361881496629,0.9384150679375244
saldo_capital,num,bin_1,2191,38,2153,0.04112554112554113,0.1296987951807229,-1.1485854349350268,0.10173394953258158,0.1127488317192993
saldo_capital,num,bin_2,13142,744,12398,0.8051948051948052,0.746867469879518,0.07519648927417763,0.004386010844427358,0.1127488317192993
saldo_capital,num,bin_8,2191,142,2049,0.15367965367965367,0.12343373493975904,0.21916581206531136,0.006628871342290425,0.1127488317192993
saldispopera,num,bin_1,10952,731,10221,0.7911255411255411,0.615722891566265,0.25065965612365265,0.0439663678217057,0.1508971784979628
saldispopera,num,bin_2,6572,193,6379,0.20887445887445888,0.3842771084337349,-0.6096305326341191,0.10693081067625719,0.1508971784979628
siniincicap_v,num,bin_1,1194,319,875,0.34523809523809523,0.05271084337349398,1.8794131191301804,0.5497795548574301,0.6578194407069246
siniincicap_v,num,bin_4,16330,605,15725,0.6547619047619048,0.947289156626506,-0.36933272083484936,0.10803988584949445,0.6578194407069246
saliniinciint_v,num,bin_1,1389,288,1101,0.3116883116883117,0.06632530120481928,1.5474322461162164,0.3796826344263074,0.4544904594264768
saliniinciint_v,num,bin_4,16135,636,15499,0.6883116883116883,0.9336746987951807,-0.3048863186539782,0.07480782500016946,0.4544904594264768
saldo_intereses,num,bin_1,8762,247,8515,0.26731601731601734,0.5129518072289156,-0.651750353765861,0.16009321297328818,0.4368835546216782
