bin,count,bads,goods,dist_bad,dist_good,woe,iv_component
bin_1,1596,218,1378,0.23593073593073594,0.08301204819277108,1.0445525139184355,0.15973159970179943
bin_2,1596,142,1454,0.15367965367965367,0.08759036144578314,0.5621993022107464,0.03715535397748412
bin_3,3191,205,2986,0.22186147186147187,0.17987951807228916,0.2097659037422229,0.00880638247745215
bin_5,4787,171,4616,0.18506493506493507,0.2780722891566265,-0.40717434898232513,0.03787020885285306
bin_8,6354,188,6166,0.20346320346320346,0.3714457831325301,-0.601917742913196,0.10111169520329724
