bin,count,bads,goods,dist_bad,dist_good,woe,iv_component
bin_1,9834,633,9201,0.685064935064935,0.5542771084337349,0.21184887206476538,0.027707253551621833
bin_2,1767,86,1681,0.09307359307359307,0.10126506024096385,-0.08435093445215741,0.000690957910101892
bin_3,757,29,728,0.031385281385281384,0.04385542168674699,-0.33455931550726153,0.00417200160353785
bin_4,1766,63,1703,0.06818181818181818,0.10259036144578314,-0.4085660515682052,0.014058162661571928
bin_5,3400,113,3287,0.12229437229437229,0.19801204819277107,-0.48189685224892836,0.03648810967504292
