,threshold,TP,FP,TN,FN,precision,recall,f1,approve_rate,name,note
Estrategia_recall_alto,0.5514528368340634,123,470,2850,62,0.2074198988195615,0.6648648648648648,0.3161953727506427,0.1691868758915834,KS_max,
Estrategia_balanceada,0.7907863574732759,94,139,3181,91,0.4034334763948498,0.5081081081081081,0.4497607655502392,0.0664764621968616,F1_max,
Estrategia_precision_alta,0.69602130042971,103,240,3080,82,0.3002915451895043,0.5567567567567567,0.3901515151515151,0.0978601997146933,Prec>=30%,
