decile,registros,malos,buenos,event_rate,score_min,score_max,lift
10,351,103,248,0.2934472934472934,0.6908113079076,0.9929768144990032,5.562842373273668
9,350,24,326,0.06857142857142857,0.5086227242977934,0.6900163791437028,1.2998996990972924
8,351,14,337,0.039886039886039885,0.4017571030370387,0.5085912865197368,0.7561144973381686
7,350,12,338,0.03428571428571429,0.3480699894801535,0.4014051150494518,0.6499498495486462
6,350,9,341,0.025714285714285714,0.3050102386372028,0.3479585385797216,0.4874623871614846
5,351,3,348,0.008547008547008548,0.2549523964736821,0.3049657604165329,0.16202453514389328
4,350,9,341,0.025714285714285714,0.1939635317337665,0.2546753904874604,0.4874623871614846
3,351,9,342,0.02564102564102564,0.1258856929907374,0.1938250602384996,0.48607360543167977
2,350,1,349,0.002857142857142857,0.0630904525407399,0.1258200137466271,0.05416248746238718
1,351,1,350,0.002849002849002849,0.0050092299254757,0.0628730767484292,0.054008178381297754
