2025-11-03 19:44:03 | INFO | agrupacion_auto | === Notebook 01: Agrupación Automática (Binning / IV) ===
2025-11-03 19:44:03 | INFO | agrupacion_auto | BASE_DIR=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe
2025-11-03 19:48:38 | INFO | agrupacion_auto | === Notebook 01: Agrupación Automática (Binning / IV) ===
2025-11-03 19:48:38 | INFO | agrupacion_auto | BASE_DIR=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe
2025-11-03 19:48:38 | INFO | agrupacion_auto | INTERIM=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\data\interim | REFERENCES=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\references | REPORTS_IV=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\reports\iv | LOG_DIR=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\data\interim\logs
2025-11-03 19:52:25 | INFO | agrupacion_auto | Cargado abt_PE2020_clean_min.csv | shape=(17524, 438) | memoria≈71.96 MB
2025-11-03 19:52:25 | INFO | agrupacion_auto | TARGET=default_12m | distrib={0:16600, 1:924} | ratio_positivos=0.052728
2025-11-03 19:52:25 | INFO | agrupacion_auto | Vars numéricas: 422 | categóricas: 2 | cat_alta_card: 3
2025-11-03 19:55:10 | ERROR | agrupacion_auto | Faltan carpetas destino. Crea manualmente:
  C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\reports\iv
  C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\references
2025-11-03 19:57:49 | INFO | agrupacion_auto | === Notebook 01: Agrupación Automática (Binning / IV) ===
2025-11-03 19:57:49 | INFO | agrupacion_auto | BASE_DIR=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe
2025-11-03 19:57:49 | INFO | agrupacion_auto | INTERIM=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\data\interim | REFERENCES=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\references | REPORTS_IV=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\reports\iv | LOG_DIR=C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\data\interim\logs
2025-11-03 19:57:56 | ERROR | agrupacion_auto | Faltan carpetas destino. Crea manualmente:
  C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\reports\iv
  C:\Users\PC RYU\Documents\Galileo\Maestria\Product Development\repo_proyecto_pe\references
2025-11-03 19:58:38 | INFO | agrupacion_auto | Iniciando binning numérico: 422 variables…
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en 0: '0'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en num_contratos: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en indiemppromoflag: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en indiempvincuflag: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_codrpo_cuencorr: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_codpro_docdes: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_codpro_finanexp: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_codpro_finanimp: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_codpro_intauto: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_codpro_intcasa: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_codpro_intconsu: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en dias_atraso: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en ead_cont_nov_refina: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_vencido: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_exceso: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en flag_tarjeta_virt: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en impgaraoperaforma: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en impgaraoperarefe: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en impcontnovarefi: positive() got an unexpected keyword argument 'lower'
2025-11-03 19:58:38 | WARNING | agrupacion_auto | [NUM] Falló binning en impor_novado_refina: positive() got an unexpected keyword argument 'lower'
